rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
150,andresiniesta8,Spain,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,85,33.51403779,2000,40000000,40,250800,0.2508,161700,0.1617,500500000,0.5005,0.0041,0.41,0.00627,0.627,False,7.419921835,1.479411862,1.552442257,88.73239437
151,princessyahrini,Indonesia,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,81,31.18901509,4500,40000000,40,118300,0.1183,87400,0.0874,529900000,0.5299,0.0022,0.22,0.0029575,0.29575,False,7.419921835,0.498299693,0.833017796,83.09859155
152,liverpoolfc,United Kingdom,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,75,28.74587676,10000,39900000,39.9,346700,0.3467,162900,0.1629,3500000000,3.5,0.0042,0.42,0.00868922306,0.868922306,False,7.326331798,2.195948973,1.590306702,74.64788732
153,teddysphotos,United States,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,80,31.91780118,2300,39900000,39.9,715500,0.7155,181100,0.1811,1700000000,1.7,0.0046,0.46,0.0179323308,1.793233083,False,7.326331798,4.933617052,1.741764483,81.69014085
154,worldstar,United States,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,78,29.60530728,11600,39200000,39.2,157400,0.1574,84400,0.0844,1800000000,1.8,0.0023,0.23,0.00401530612,0.401530612,False,6.664558769,0.811605793,0.870882242,78.87323944
155,natashawilona12,None,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,84,33.38916985,1200,39200000,39.2,486500,0.4865,227700,0.2277,563900000,0.5639,0.0059,0.59,0.0124107143,1.241071429,False,6.664558769,3.29819813,2.234002272,87.32394366
156,mahi7781,None,101-200,Q1 팔로워 낮음,Q4 반응 높음,참여율 상위 10%,58,27.15531601,100,39100000,39.1,4100000,4.1,0,0,439400000,0.4394,0.0017,0.17,0.104859335,10.4859335,False,6.56905629,30.68007491,0.64369557,50.70422535
157,georginagio,None,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,74,36.20972738,730,39100000,39.1,2200000,2.2,3300000,3.3,1600000000,1.6,0.0856,8.56,0.0562659847,5.626598465,False,6.56905629,16.28746287,32.41196516,73.23943662
158,cznburak,None,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,80,32.23800088,1800,39000000,39,815800,0.8158,383300,0.3833,1400000000,1.4,0.0101,1.01,0.0209179487,2.091794872,False,6.473309247,5.817911708,3.824308974,81.69014085
159,chrissyteigen,United States,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,79,31.02880127,5100,38900000,38.9,623100,0.6231,162100,0.1621,3200000000,3.2,0.0043,0.43,0.0160179949,1.601799486,False,6.377316383,4.366619825,1.628171147,80.28169014
160,ruben_onsu,Indonesia,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,75,27.94228975,13400,38800000,38.8,139300,0.1393,49100,0.0491,1900000000,1.9,0.0013,0.13,0.00359020619,0.359020619,False,6.281076432,0.685697651,0.492237789,74.64788732
161,wizkhalifa,United States,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,80,30.98219735,500,38700000,38.7,398700,0.3987,115700,0.1157,199800000,0.1998,0.0031,0.31,0.0103023256,1.030232558,False,6.184588121,2.673725431,1.173797804,81.69014085
162,hm,Sweden,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,83,31.67781691,7300,38500000,38.5,88400,0.0884,22400,0.0224,644100000,0.6441,0.0006,0.06,0.0022961039,0.22961039,False,5.990861262,0.302404216,0.227186672,85.91549296
163,anushkasen0408,None,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,85,34.7493259,5300,38300000,38.3,695400,0.6954,658300,0.6583,3700000000,3.7,0.0175,1.75,0.018156658,1.815665796,False,5.796125405,5.000059342,6.626277925,88.73239437
164,prattprattpratt,None,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,84,34.05871838,730,38300000,38.3,813500,0.8135,363800,0.3638,594700000,0.5947,0.01,1,0.0212402089,2.124020888,False,5.796125405,5.91336027,3.786444529,87.32394366
165,marvelstudios,None,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,83,33.42829545,2700,38100000,38.1,594200,0.5942,555900,0.5559,1600000000,1.6,0.0158,1.58,0.0155958005,1.559580052,False,5.600369984,4.241572279,5.982582355,85.91549296
166,wesleysafadao,None,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,80,30.24229032,8900,37400000,37.4,256100,0.2561,0,0,2300000000,2.3,0.0002,0.02,0.00684759358,0.684759358,False,4.907040447,1.650486305,0.0757288906,81.69014085
167,parineetichopra,None,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,84,33.08314861,1300,37400000,37.4,505700,0.5057,246900,0.2469,672100000,0.6721,0.0068,0.68,0.0135213904,1.352139037,False,4.907040447,3.627163511,2.574782279,87.32394366
168,rkive,None,101-200,Q1 팔로워 낮음,Q4 반응 높음,참여율 상위 10%,83,52.91586705,110,37000000,37,10900000,10.9,0,0,1200000000,1.2,0,0,0.294594595,29.45945946,True,4.505002165,86.87677591,0,85.91549296
169,laudyacynthiabella,Indonesia,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,76,28.0411639,380,36900000,36.9,172800,0.1728,43400,0.0434,66700000,0.0667,0.0012,0.12,0.00468292683,0.468292683,False,4.40381347,1.009344903,0.454373343,76.05633803
170,antogriezmann,France,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,83,33.53035061,870,36500000,36.5,1100000,1.1,203600,0.2036,955400000,0.9554,0.0057,0.57,0.0301369863,3.01369863,False,3.996297719,8.548450564,2.158273381,85.91549296
171,gisel_la,None,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,85,32.3231062,9900,36500000,36.5,150500,0.1505,33400,0.0334,1500000000,1.5,0.001,0.1,0.00412328767,0.412328767,False,3.996297719,0.843588288,0.378644453,88.73239437
172,eminem,United States,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,84,35.20788411,660,36400000,36.4,1100000,1.1,962700,0.9627,730100000,0.7301,0.0269,2.69,0.0302197802,3.021978022,False,3.893720975,8.572972864,10.18553578,87.32394366
173,mercedesbenz,British Virgin Islands,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,77,28.39768587,10000,36000000,36,197900,0.1979,64600,0.0646,2000000000,2,0.0018,0.18,0.00549722222,0.549722222,False,3.48057644,1.250526826,0.681560015,77.46478873
174,colesprouse,None,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,81,35.70092584,1200,35900000,35.9,2200000,2.2,834500,0.8345,2600000000,2.6,0.0234,2.34,0.061281337,6.128133705,False,3.376573035,17.77293404,8.860280197,83.09859155
175,nattinatasha,Czech Republic,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,47,14.59666018,30,35900000,35.9,518100,0.5181,285900,0.2859,18700000,0.0187,0.008,0.8,0.0144317549,1.443175487,False,3.376573035,3.896799644,3.029155623,35.21126761
176,shahidkapoor,None,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,82,34.39532168,1100,35600000,35.6,1300000,1.3,780000,0.78,1500000000,1.5,0.0254,2.54,0.0365168539,3.651685393,False,3.062815669,10.43807042,9.617569103,84.50704225
177,tigerjackieshroff,India,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,83,33.71121418,2100,35600000,35.6,1100000,1.1,422900,0.4229,2200000000,2.2,0.012,1.2,0.0308988764,3.08988764,False,3.062815669,8.774110836,4.543733434,85.91549296
178,kimberly.loaiza,Mexico,101-200,Q1 팔로워 낮음,Q4 반응 높음,참여율 상위 10%,78,36.64419541,590,35500000,35.5,2600000,2.6,1800000,1.8,1600000000,1.6,0.0523,5.23,0.0732394366,7.323943662,False,2.957642041,21.31474144,19.80310488,78.87323944
179,barackobama,United States,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,81,32.67988427,660,35400000,35.4,1100000,1.1,411500,0.4115,739500000,0.7395,0.0119,1.19,0.0310734463,3.107344633,False,2.852171732,8.825815795,4.505868989,83.09859155
180,sachintendulkar,None,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,76,30.04381465,1000,35300000,35.3,800400,0.8004,664500,0.6645,810000000,0.81,0.0203,2.03,0.022674221,2.267422096,False,2.746403062,6.338092861,7.686482393,76.05633803
181,simonemendes,Brazil,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,72,26.41802584,4400,35000000,35,420000,0.42,222900,0.2229,1900000000,1.9,0.0065,0.65,0.012,1.2,False,2.427289887,3.176550799,2.461188944,70.42253521
182,ivetesangalo,Brazil,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,84,31.70841357,7600,34800000,34.8,226400,0.2264,121100,0.1211,1700000000,1.7,0.0036,0.36,0.00650574713,0.650574713,False,2.213024545,1.549236579,1.36312003,87.32394366
183,lunamaya,None,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,83,30.93519323,4100,34800000,34.8,145400,0.1454,58600,0.0586,589600000,0.5896,0.0017,0.17,0.00417816092,0.417816092,False,2.213024545,0.85984091,0.64369557,85.91549296
184,toni.kr8s,None,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,83,32.73091012,940,34700000,34.7,597200,0.5972,533500,0.5335,561300000,0.5613,0.0168,1.68,0.0172103746,1.721037464,False,2.105429651,4.719784599,6.361226808,85.91549296
185,dannapaola,Mexico,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,68,28.29104519,1900,34700000,34.7,1500000,1.5,1200000,1.2,2800000000,2.8,0.0349,3.49,0.0432276657,4.322766571,False,2.105429651,12.4257109,13.2146914,64.78873239
186,paollaoliveirareal,None,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,84,32.10390904,4600,34700000,34.7,367800,0.3678,192300,0.1923,1700000000,1.7,0.0057,0.57,0.0105994236,1.059942363,False,2.105429651,2.761721359,2.158273381,87.32394366
187,blakelively,United States,101-200,Q1 팔로워 낮음,Q4 반응 높음,참여율 상위 10%,80,35.64207021,110,34600000,34.6,3100000,3.1,0,0,350900000,0.3509,0.0002,0.02,0.0895953757,8.959537572,False,1.997524237,26.15912209,0.0757288906,81.69014085
188,adidasoriginals,None,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,83,30.7751752,150,34200000,34.2,136200,0.1362,66800,0.0668,21200000,0.0212,0.002,0.2,0.00398245614,0.398245614,False,1.562761199,0.801876128,0.757288906,85.91549296
189,disney,United States,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,77,28.05983031,7300,34200000,34.2,185200,0.1852,132000,0.132,1400000000,1.4,0.0044,0.44,0.00541520468,0.541520468,False,1.562761199,1.226234475,1.666035593,77.46478873
190,shaymitchell,United States,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,83,32.34430522,6300,34100000,34.1,732400,0.7324,247500,0.2475,4600000000,4.6,0.0073,0.73,0.0214780059,2.147800587,False,1.453275909,5.983792125,2.764104506,85.91549296
191,bmw,Germany,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,79,28.89604845,9300,33700000,33.7,231300,0.2313,76500,0.0765,2200000000,2.2,0.0023,0.23,0.00686350148,0.686350148,False,1.01210029,1.655197983,0.870882242,80.28169014
192,danbilzerian,Canada,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,84,37.13504331,1400,33600000,33.6,2000000,2,1200000,1.2,2800000000,2.8,0.0358,3.58,0.0595238095,5.952380952,False,0.900988173,17.25238109,13.55547141,87.32394366
193,khabib_nurmagomedov,Russia,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,63,22.20907486,4500,33500000,33.5,685100,0.6851,220700,0.2207,3100000000,3.1,0.0067,0.67,0.0204507463,2.045074627,False,0.789544872,5.679533441,2.536917834,57.74647887
194,zidane,France,101-200,Q1 팔로워 낮음,Q4 반응 높음,일반 계정,41,12.81496085,370,33500000,33.5,1100000,1.1,532700,0.5327,391900000,0.3919,0.0161,1.61,0.0328358209,3.28358209,False,0.789544872,9.347804364,6.096175691,26.76056338
195,sonamkapoor,India,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,75,27.12016652,4800,33300000,33.3,264700,0.2647,209200,0.2092,1300000000,1.3,0.0063,0.63,0.00794894895,0.794894895,False,0.565656778,1.97669103,2.385460053,74.64788732
196,iambeckyg,United States,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,71,26.36023388,2300,33200000,33.2,623800,0.6238,464700,0.4647,1400000000,1.4,0.014,1.4,0.0187891566,1.878915663,False,0.453207972,5.187395835,5.30102234,69.01408451
197,nancyajram,France,101-200,Q1 팔로워 낮음,Q2 반응 중하,일반 계정,81,30.33760295,3800,33200000,33.2,390400,0.3904,208000,0.208,1500000000,1.5,0.0064,0.64,0.0117590361,1.175903614,False,0.453207972,3.105180966,2.423324498,83.09859155
198,luansantana,Brazil,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,79,28.69626656,770,33200000,33.2,193300,0.1933,82600,0.0826,149200000,0.1492,0.0026,0.26,0.00582228916,0.582228916,False,0.453207972,1.346806712,0.984475577,80.28169014
199,nickjonas,United States,101-200,Q1 팔로워 낮음,Q3 반응 중상,일반 계정,78,29.98920839,2300,33000000,33,719600,0.7196,467700,0.4677,1700000000,1.7,0.0142,1.42,0.0218060606,2.180606061,False,0.227290669,6.080956955,5.376751231,78.87323944
200,raisa6690,Indonesia,101-200,Q1 팔로워 낮음,Q1 반응 낮음,일반 계정,80,29.19171551,4200,32800000,32.8,232200,0.2322,97400,0.0974,969100000,0.9691,0.003,0.3,0.00707926829,0.707926829,False,0,1.719104834,1.135933359,81.69014085
