Date,삼성전자,삼성전자우,괴리율
2016-02-24,18296.703125,14499.7529296875,20.752100361318508
2016-02-25,18405.984375,14723.05859375,20.009393174604387
2016-02-26,18296.703125,14469.9755859375,20.914847406764707
2016-02-29,18390.373046875,14678.390625,20.184378057006093
2016-03-02,18686.99609375,14901.6962890625,20.2563311176242
2016-03-03,19046.06640625,15407.849609375,19.10219527367138
2016-03-04,18968.001953125,15288.7568359375,19.397114816204137
2016-03-07,19092.8984375,15378.076171875,19.45656537055049
2016-03-08,18608.94140625,15139.8837890625,18.641885862579922
2016-03-09,18640.16015625,14782.6025390625,20.69487378247697
2016-03-10,19124.12109375,15273.8662109375,20.132976903554596
2016-03-11,19498.796875,15556.7177734375,20.21703762972555
2016-03-14,19592.466796875,15675.8134765625,19.99060843597911
2016-03-15,19561.2421875,15512.0546875,20.700052998615327
2016-03-16,19608.076171875,15750.25,19.67467964760614
2016-03-17,19717.359375,15765.1279296875,20.044425676612693
2016-03-18,19873.474609375,15824.6796875,20.372858805299423
2016-03-21,19779.796875,15958.6669921875,19.31834743784496
2016-03-22,19811.025390625,16003.3203125,19.2201312301931
2016-03-23,19967.14453125,16018.208984375,19.77716713922031
2016-03-24,20013.978515625,16018.208984375,19.964893677338992
2016-03-25,20107.646484375,15899.1123046875,20.930018751611808
2016-03-28,20201.31640625,16152.19140625,20.043867036047505
2016-03-29,20138.8671875,16345.71875,18.83496426181494
2016-03-30,20419.869140625,16658.341796875,18.420917968893846
2016-03-31,20482.3203125,16479.69921875,19.541834287726036
2016-04-01,19967.14453125,16062.865234375,19.553518485152075
2016-04-04,20373.0390625,16226.6220703125,20.352471614407676
2016-04-05,19670.5234375,15601.373046875,20.68653843175087
2016-04-06,20060.80859375,15780.017578125,21.33907512062446
2016-04-07,19811.025390625,15452.5107421875,22.000449560273857
2016-04-08,19451.958984375,15512.0546875,20.254537345260555
2016-04-11,19764.189453125,15631.1474609375,20.91177076595978
2016-04-12,19904.697265625,15780.017578125,20.722142278562742
2016-04-14,20294.982421875,15705.5859375,22.613453852654274
2016-04-15,20294.982421875,15988.4345703125,21.219766354272256
2016-04-18,20279.373046875,16211.7392578125,20.05798591337276
2016-04-19,20107.646484375,15794.9072265625,21.4482548276537
2016-04-20,20279.373046875,15884.2265625,21.67298995987591
2016-04-21,20201.31640625,15884.2265625,21.370339224103006
2016-04-22,19982.7578125,15988.4345703125,19.988848784870395
2016-04-25,19998.373046875,15958.6669921875,20.2001735102084
2016-04-26,20232.53515625,16092.640625,20.461570926622866
2016-04-27,20294.982421875,15988.4345703125,21.219766354272256
2016-04-28,19748.583984375,15526.9384765625,21.376952955982308
2016-04-29,19436.35546875,15526.9384765625,20.11394059175912
2016-05-02,19514.408203125,15273.8662109375,21.7303130489421
2016-05-03,19686.13671875,15422.732421875,21.656886558216033
2016-05-04,20138.8671875,15675.8134765625,22.161394031674604
2016-05-09,20279.373046875,16181.966796875,20.20479745862459
2016-05-10,20232.53515625,16107.53125,20.387973501065446
2016-05-11,20170.09375,16092.640625,20.215340471583083
2016-05-12,19998.373046875,15780.017578125,21.09349324998801
2016-05-13,19561.2421875,15378.076171875,21.38497123816667
2016-05-16,19483.181640625,15273.8662109375,21.60486673752773
2016-05-17,19732.96875,15363.1865234375,22.14457582092152
2016-05-18,19795.416015625,15214.318359375,23.142214604805623
2016-05-19,19826.640625,15363.1865234375,22.512407351220144
2016-05-20,19811.025390625,15363.1865234375,22.45133091037434
2016-05-23,20076.42578125,15437.6240234375,23.105715172392994
2016-05-24,19842.24609375,15497.166015625,21.898126137512392
2016-05-25,20216.923828125,15943.771484375,21.136511073981275
2016-05-26,20232.53515625,15943.771484375,21.19736176783642
2016-05-27,20013.978515625,15765.1279296875,21.229415144122413
2016-05-30,19982.7578125,15586.48828125,22.000314333489847
2016-05-31,20170.09375,15809.7890625,21.617671893567675
2016-06-01,20810.166015625,16509.47265625,20.666309707216605
2016-06-02,21309.728515625,16881.646484375,20.779626676159594
2016-06-03,21497.06640625,16822.09375,21.747026165815868
2016-06-07,21824.91015625,17030.509765625,21.967560719841163
2016-06-08,21949.810546875,17119.830078125,22.00465675289232
2016-06-09,22324.484375,17179.3828125,23.04689987940651
2016-06-10,21949.810546875,17268.6953125,21.326449375853276
2016-06-13,21403.400390625,16569.021484375,22.58696664090594
2016-06-14,21543.90234375,16822.09375,21.917146292300295
2016-06-15,22059.083984375,17060.283203125,22.66096264373795
2016-06-16,21996.640625,16970.96484375,22.847469606509517
2016-06-17,22262.033203125,17045.390625,23.432911677594305
2016-06-20,22340.099609375,17075.16796875,23.567180687124495
2016-06-21,22605.48828125,17343.134765625,23.27909687308029
2016-06-22,22558.658203125,17462.22265625,22.591926793629074
2016-06-23,22324.484375,17179.3828125,23.04689987940651
2016-06-24,21856.12890625,16941.185546875,22.487712167407274
2016-06-27,21824.91015625,16881.646484375,22.649640417692154
2016-06-28,21840.51953125,16777.435546875,23.18206751964212
2016-06-29,21809.283203125,16837.033203125,22.79877772089061
2016-06-30,22262.33984375,17626.736328125,20.82262488202207
2016-07-01,22902.861328125,18088.642578125,21.020162856629966
